Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3
reali,La araña que persiguieron los sapos comió la mosca,The spider that the frogs chased ate the fly,fullNP_OVS,1,1,4-6,6,7
reali,La araña que los sapos persiguieron comió la mosca,The spider that the frogs chased ate the fly,fullNP_OSV,1,1,4-6,6,7
reali,La araña que nosotros perseguimos comió la mosca,The spider that we chased ate the fly,proNP_OSV,1,1,4-5,5,6
reali,La araña que perseguimos nosotros comió la mosca,The spider that we chased ate the fly,proNP_OVS,1,1,4-5,5,6
reali,El gobernador que llamaron los secretarios defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OVS,2,2,4-6,6,7
reali,El gobernador que los secretarios llamaron defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OSV,2,2,4-6,6,7
reali,El gobernador que nosotros llamamos defraudó al embajador,The governor that we called let down the ambassador,proNP_OSV,2,2,4-5,5,6
reali,El gobernador que llamamos nosotros defraudó al embajador,The governor that we called let down the ambassador,proNP_OVS,2,2,4-5,5,6
reali,El panadero que felicitaron los carniceros odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OVS,3,3,4-6,6,7
reali,El panadero que los carniceros felicitaron odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OSV,3,3,4-6,6,7
reali,El panadero que nosotros felicitamos odiaba al alcalde,The baker that we praised hated the mayor,proNP_OSV,3,3,4-5,5,6
reali,El panadero que felicitamos nosotros odiaba al alcalde,The baker that we praised hated the mayor,proNP_OVS,3,3,4-5,5,6
reali,La ardilla que asustaron los niños devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OVS,4,4,4-6,6,7
reali,La ardilla que los niños asustaron devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OSV,4,4,4-6,6,7
reali,La ardilla que nosotros asustamos devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OSV,4,4,4-5,5,6
reali,La ardilla que asustamos nosotros devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OVS,4,4,4-5,5,6
