Country,Text,Translation,Type,Item,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
BCS,Conocían al atleta que venció finalmente al corredor el año pasado.,They knew the athlete that finally beat the runner last year.,SAA,1,5,6,7-8,9-11,25.667565,7.515949,13.737422,7.396646,13.213617,10.527263,4.197335,11.540693,4.499021,5.368899,5.506945,,,,13.213617,10.527263,15.738028,15.374865
BCS,Conocían la enfermedad que venció finalmente al corredor el año pasado.,They knew the illness that finally beat the runner last year.,SIA,1,5,6,7-8,9-11,25.667565,7.945636,7.866114,7.353349,13.351707,10.959213,4.390666,12.849134,4.587654,5.433043,5.002858,,,,13.351707,10.959213,17.2398,15.023555
BCS,Conocían al atleta que venció finalmente el corredor el año pasado.,They knew the athlete that the runner finally beat last year.,OAA,1,5,6,7-8,9-11,25.667565,7.515949,13.737422,7.396646,13.213617,10.527263,3.392647,11.144889,4.70786,5.415779,5.14303,,,,13.213617,10.527263,14.537536,15.266669
BCS,Conocían la enfermedad que venció finalmente el corredor el año pasado.,They knew the illness that the runner finally beat last year.,OIA,1,5,6,7-8,9-11,25.667565,7.945636,7.866114,7.353349,13.351707,10.959213,3.175822,13.066184,4.388397,5.44635,4.414388,,,,13.351707,10.959213,16.242006,14.249135
BCS,Antonio leyó al periodista que criticó duramente al escritor durante el certamen.,Antonio read to the journalist that harshly criticized the writer during the meeting.,SAA,2,6,7,8-9,10-11,11.339742,23.693383,8.630968,14.089126,6.358095,11.618551,15.528165,4.657929,8.421992,8.268362,2.274031,10.975221,,,11.618551,15.528165,13.079921,10.542393
BCS,Antonio leyó el artículo que criticó duramente al escritor durante el certamen.,Antonio read the article that harshly criticized the writer during the meeting.,SIA,2,6,7,8-9,10-11,11.339742,23.693383,7.099718,9.474956,3.416762,10.753471,13.952907,4.88043,8.433198,7.682234,2.227254,11.118915,,,10.753471,13.952907,13.313628,9.909488
BCS,Antonio leyó al periodista que criticó duramente el escritor durante el certamen.,Antonio read to the journalist that the writer harshly criticized during the meeting.,OAA,2,6,7,8-9,10-11,11.339742,23.693383,8.630968,14.089126,6.358095,11.618551,15.528165,3.73996,7.985753,8.201601,2.175044,10.72194,,,11.618551,15.528165,11.725713,10.376645
BCS,Antonio leyó el artículo que criticó duramente el escritor durante el certamen.,Antonio read the article that the writer harshly criticized during the meeting.,OIA,2,6,7,8-9,10-11,11.339742,23.693383,7.099718,9.474956,3.416762,10.753471,13.952907,3.84918,8.068808,7.629974,2.175454,10.930172,,,10.753471,13.952907,11.917988,9.805428
BCS,Aplaudieron al actor que llevó ese año al director a los óscars.,They applauded the actor that this year led the director to the Oscars.,SAA,3,5,6-7,8-9,10-12,32.770533,7.957097,14.273581,8.800771,8.030932,9.021206,3.544685,5.39288,6.071097,3.815791,3.484097,17.54735,,,8.030932,12.565891,11.463977,24.847238
BCS,Aplaudieron la película que llevó ese año al director a los óscars.,They applauded the film that this year led the director to the Oscars.,SIA,3,5,6-7,8-9,10-12,32.770533,9.3028,10.602098,4.54978,7.561266,8.821945,3.129817,5.649272,5.657224,3.901355,3.581532,16.484785,,,7.561266,11.951762,11.306496,23.967672
BCS,Aplaudieron al actor que llevó ese año el director a los óscars.,They applauded the actor that this year led the director to the Oscars.,OAA,3,5,6-7,8-9,10-12,32.770533,7.957097,14.273581,8.800771,8.030932,9.021206,3.544685,3.666317,7.021676,4.163432,3.460806,17.612713,,,8.030932,12.565891,10.687993,25.236951
BCS,Aplaudieron la película que llevó ese año el director a los óscars.,They applauded the film that the director this year led to the Oscars.,OIA,3,5,6-7,8-9,10-12,32.770533,9.3028,10.602098,4.54978,7.561266,8.821945,3.129817,3.551616,6.5768,4.300637,3.502359,16.839458,,,7.561266,11.951762,10.128416,24.642454
BCS,Conocían al abogado que ocultó premeditadamente al político del escándalo.,They knew the lawyer that with premeditation hid the politician from the scandal.,SAA,4,5,6,7-8,9-10,25.667565,7.515949,17.214995,5.409565,14.427629,27.374275,4.229574,9.129622,4.340229,17.211925,,,,,14.427629,27.374275,13.359196,21.552154
BCS,Conocían el informe que ocultó premeditadamente al político del escándalo.,They knew the report that with premeditation hid the politician from the scandal.,SIA,4,5,6,7-8,9-10,25.667565,7.648761,8.632036,8.206208,13.274444,29.309371,4.413944,9.659276,4.0903,16.324186,,,,,13.274444,29.309371,14.07322,20.414486
BCS,Conocían al abogado que ocultó premeditadamente el político del escándalo.,They knew the lawyer that with premeditation hid the politician from the scandal.,OAA,4,5,6,7-8,9-10,25.667565,7.515949,17.214995,5.409565,14.427629,27.374275,3.424887,10.170942,4.276246,16.266951,,,,,14.427629,27.374275,13.595829,20.543197
BCS,Conocían el informe que ocultó premeditadamente el político del escándalo.,They knew the report that with premeditation hid the politician from the scandal.,OIA,4,5,6,7-8,9-10,25.667565,7.648761,8.632036,8.206208,13.274444,29.309371,3.484257,10.250917,4.038518,15.394423,,,,,13.274444,29.309371,13.735174,19.432941
BCS,Los socios vieron al contable que censuró duramente al director en la junta.,The associates saw the accountant that harshly censured the director in the meeting.,SAA,5,7,8,9-10,11-13,9.696346,9.525186,10.933015,5.497003,13.687396,5.38411,19.453382,16.141103,4.749869,7.455222,4.822701,2.167651,8.716574,,19.453382,16.141103,12.205091,15.706926
BCS,Los socios vieron el documento que censuró duramente al director en la junta.,The associates saw the document that harshly censured the director in the meeting.,SIA,5,7,8,9-10,11-13,9.696346,9.525186,10.933015,4.192316,8.39385,3.278224,19.740659,15.639498,4.892908,6.924155,4.997684,2.139851,8.290729,,19.740659,15.639498,11.817063,15.428264
BCS,Los socios vieron al contable que censuró duramente el director en la junta.,The associates saw the accountant that the director harshly censured in the meeting.,OAA,5,7,8,9-10,11-13,9.696346,9.525186,10.933015,5.497003,13.687396,5.38411,19.453382,16.141103,3.956901,7.457188,4.825418,2.156846,8.774908,,19.453382,16.141103,11.414089,15.757172
BCS,Los socios vieron el documento que censuró duramente el director en la junta.,The associates saw the document that the director harshly censured in the meeting.,OIA,5,7,8,9-10,11-13,9.696346,9.525186,10.933015,4.192316,8.39385,3.278224,19.740659,15.639498,3.86947,7.226413,5.08702,2.124009,8.331728,,19.740659,15.639498,11.095883,15.542757
